Home,Away,Hscore,Ascore
A東京,新潟,試合中止,
島根,川崎,試合中止,
秋田,名古屋D,試合中止,
茨城,千葉,63,92
富山,横浜,90,65
群馬,A東京,67,74
三河,京都,85,80
大阪,三遠,98,80
新潟,宇都宮,72,89
琉球,滋賀,92,50
島根,川崎,試合中止,
北海道,SR渋谷,68,75
秋田,名古屋D,試合中止,
茨城,千葉,82,87
富山,横浜,92,76
広島,信州,77,84
群馬,A東京,83,91
新潟,宇都宮,62,92
三河,京都,72,80
大阪,三遠,108,81
琉球,滋賀,94,78
北海道,SR渋谷,85,79
広島,信州,56,87
群馬,北海道,95,83
SR渋谷,秋田,64,55
川崎,茨城,試合中止,
横浜,新潟,86,76
富山,千葉,試合中止,
三河,島根,84,90
名古屋D,大阪,89,87
京都,信州,69,71
滋賀,広島,73,92
宇都宮,A東京,65,77
琉球,三遠,92,69
信州,三河,試合中止,
宇都宮,茨城,試合中止,
千葉,北海道,97,74
A東京,横浜,91,80
名古屋D,新潟,試合中止,
SR渋谷,群馬,78,70
三遠,富山,80,92
滋賀,大阪,79,78
川崎,秋田,82,68
京都,琉球,69,87
島根,広島,89,67
島根,広島,84,91
三遠,富山,86,93
京都,琉球,67,79
滋賀,大阪,88,78
宇都宮,茨城,試合中止,
千葉,北海道,98,77
A東京,横浜,68,67
SR渋谷,群馬,75,94
信州,三河,試合中止,
名古屋D,新潟,試合中止,
川崎,秋田,86,87
広島,川崎,81,89
北海道,滋賀,96,74
秋田,三河,84,93
茨城,横浜,試合中止,
A東京,群馬,82,54
信州,島根,試合中止,
大阪,SR渋谷,65,66
新潟,千葉,試合中止,
三遠,京都,88,87
富山,宇都宮,79,99
琉球,名古屋D,97,65
富山,宇都宮,63,89
北海道,滋賀,100,73
秋田,三河,75,78
茨城,横浜,77,107
三遠,京都,63,58
広島,川崎,77,106
A東京,群馬,80,72
新潟,千葉,試合中止,
信州,島根,試合中止,
大阪,SR渋谷,74,89
琉球,名古屋D,80,81
琉球,信州,試合中止,
秋田,千葉,67,88
茨城,群馬,96,78
横浜,広島,87,96
新潟,北海道,試合中止,
富山,滋賀,81,89
三河,大阪,89,81
名古屋D,A東京,71,67
京都,SR渋谷,81,82
宇都宮,川崎,68,64
島根,三遠,92,81
北海道,茨城,80,68
宇都宮,秋田,66,61
群馬,横浜,76,83
千葉,大阪,97,74
三河,信州,68,86
SR渋谷,A東京,94,92
三遠,名古屋D,78,98
滋賀,広島,96,97
川崎,新潟,96,71
京都,富山,81,84
琉球,島根,93,82
北海道,茨城,84,77
三遠,名古屋D,86,89
京都,富山,80,85
滋賀,広島,82,80
宇都宮,秋田,82,62
群馬,横浜,88,84
千葉,大阪,82,66
SR渋谷,A東京,61,69
三河,信州,81,72
川崎,新潟,110,70
琉球,島根,71,68
秋田,茨城,78,84
群馬,三遠,79,69
A東京,北海道,82,73
川崎,千葉,92,77
横浜,SR渋谷,65,86
新潟,宇都宮,50,95
信州,名古屋D,64,86
大阪,琉球,74,81
広島,京都,94,73
滋賀,三河,87,103
島根,富山,87,80
横浜,茨城,91,73
島根,滋賀,97,56
島根,滋賀,102,79
秋田,京都,79,58
横浜,茨城,91,85
宇都宮,千葉,71,74
群馬,新潟,94,62
信州,三遠,78,68
名古屋D,琉球,73,67
広島,大阪,87,75
SR渋谷,北海道,82,60
富山,三河,70,84
川崎,A東京,76,68
富山,三河,81,78
秋田,京都,71,63
広島,大阪,90,59
宇都宮,千葉,72,69
群馬,新潟,85,79
SR渋谷,北海道,101,73
信州,三遠,88,85
名古屋D,琉球,68,88
川崎,A東京,85,53
琉球,広島,81,77
北海道,富山,96,93
茨城,群馬,93,82
千葉,SR渋谷,70,65
三河,川崎,59,85
大阪,名古屋D,87,76
A東京,宇都宮,64,80
新潟,横浜,70,76
三遠,秋田,72,88
滋賀,信州,65,81
京都,島根,試合中止,
北海道,富山,89,91
茨城,群馬,84,95
三遠,秋田,76,85
京都,島根,82,79
滋賀,信州,82,86
千葉,SR渋谷,73,71
A東京,宇都宮,67,56
新潟,横浜,82,70
三河,川崎,76,91
大阪,名古屋D,68,96
琉球,広島,57,86
